"produkt_id";"sku";"cena";"ilosc"
15727300;DL-7010-DT-I73-320-RW-W7PR;;0
15727301;DL-7010-SL-CEL-500-RW-W7PR;;0
15727302;DL-7010-SL-I33-130SSD-DVD-W7PR;;0
15727303;DL-7010-SL-I33-250-RW-W7PR;404.04;0
22682181;53560;;0
17621427;69436;;1
23296015;60910;1788.88;0
16769511;66010;538.22;1
15727482;HP-6200-DT-I52-250-DVD-NOCOA;;0
17631306;67102;1622.22;0
23120275;LN-M81-DT-I32-250-RW-W7PR-B;;93
22682180;53474;;0
15727299;DL-7010-DT-I73-250-DVD-W8PR;1012.02;1
22682159;102768;;0
17621440;69474;;1
15727298;DL-7010-DT-I53-W7PR;;0
15725883;59464;1275.55;0
22682198;54962;;0
15727297;DL-7010-DT-I5-3570-250-DVD-W7PR;;3
15727289;DL-3020-TW-I54-500-RW-W8PR;812.22;3
15727290;DL-380-SL-PEN5-W7PR;;0
15727291;DL-390-DT-I32-320-DVD-W7PR;;1
15727293;DL-390-SL-I32-250-RW-VST;308.05;0
15727294;DL-5040-SL-I36-500-RW-W7PR-B;1088.88;0
15727295;DL-7010-DT-I5-3570-250-DVD-NOCOA;;0
22682205;55252;;0
15725882;59462;1392.22;0
17053826;59156;444.44;1
16202843;LCD-HP-Z23-KLA;312.02;1
17053168;56358;398.88;0
16681056;64472;998.88;0
16202906;66248;798.88;0
17053330;56370;552.22;0
17053206;56344;412.22;1
16681204;64474;398.88;0
17053160;60146;467.55;0
16218846;66222;572.22;0
16681770;64488;982.22;0
17053052;61020;562.22;0
17053404;59190;432.22;0
17053190;59160;405.05;2
23286330;69404;;1
22725736;68996;398.88;1
21325347;102614;1065.55;0
17019119;62602;622.22;0
16970244;59896;405.05;0
16970233;58954;248.44;0
16970400;58950;275.22;0
15726661;62226;;1
22682204;55136;;0
15727287;DL-3020-TW-I54-500-RW-W7PR;;0
18504767;68382;415.05;0
18503468;68386;565.55;0
18508931;68298;798.88;1
16686352;64528;1055.55;0
16973607;60616;475.22;0
15726303;60764;;1
22682158;102766;;0
15727284;DL-3020-TW-I34-500-RW-W7PR;;0
15726660;62224;332.22;0
22682259;57126;;0
17621435;69460;;1
18471621;68436;1098.55;0
21325479;BL_CPUX3360;;1997
15679875;65084;258.55;19
19530397;69912;1188.22;0
17631728;67104;875.55;0
16032780;62688;728.22;0
15727408;DL-9020-SL-I54-W8PR;;0
15772071;63558;535.22;0
15726658;62220;;1
15726057;60202;;1
23794092;70570;1138.22;0
15727286;DL-3020-TW-I54-1000-RW-W8PR;898.88;0
17106791;67992;1398.88;0
15727480;HP-600G1-DT-I54-500-W7HP;;0
15727316;DL-7010-SL-I53-500-RW-NOCOA;;0
17621431;69450;;1
15725525;58230;;1
15725526;58234;;1
18670640;68796;815.05;0
23662440;LN-M91P-TW-I52-250-DVD-W7PR+6;792.22;2
16170862;66286;1888.88;0
16033398;62686;955.55;0
15727399;DL-9020-SL-I34-W7PR;;0
17621433;69458;;1
17621418;69418;;1
15727281;DL-3020-SL-PEN3-250GB-DVD-W7PR;;0
15727282;DL-3020-SL-PEN3-500-RW-W8PR;;0
15726056;60200;;1
15726302;60762;;1
15727280;DL-3020-SL-I54-W7PR;;0
22682257;56848;;0
22682258;56850;;0
17621469;69520;;1
22682714;60650;;0
17636054;69494;1992.22;3
19233197;68246;607.07;0
15725744;59184;;1
17621424;69432;;1
16964254;59790;316.06;0
17621436;69464;;1
17621453;69498;;1
18554814;68372;285.55;0
16970960;61368;628.22;0
16342507;64034;2444.44;0
16024223;62730;1555.55;0
22725687;68535;398.88;1
22682486;59520;;0
22682284;57464;;0
15725280;56608;;1
16966575;62248;298.88;0
15724000;59625;272.22;1
18556697;68344;528.22;0
15727388;DL-9010-SL-I53-250-RW-W7PR;768.55;0
15727375;DL-790-TW-I52-320-DVD-W7PR;;0
15659891;62054;128.22;0
15727407;DL-9020-SL-I54-W7PR;;0
23291143;HP-800G1-DT-I54-500-RW-W8PR+6;952.22;57
15727413;DL-9020-TW-I74-250-RW-W7PR;;0
15724910;36874;;1
15724911;37582;;1
15725026;55466;;1
15725063;55812;;1
15725064;55814;;1
15725590;58552;;1
15726494;61468;;1
15725175;56312;448.44;1
15725153;56046;;1
15725154;56142;1212.02;1
22682662;60382;;0
15725742;59180;342.22;0
22682832;61360;;0
15725062;55810;;1
15724932;52856;;0
